ID,Location,Name,Attack,Agility,HP,Type,Combat,LocationDescription,Description
1,A5A,Iron Shortsword,20,10,0,Equipable,,Found in ship wreckage,"This dulled iron sword isn't anything special, but it'll get the job done. "
2,"D1C,D1D",Ebony Longsword,40,5,0,Equipable,,Taken off of Marquiese - dead or alive,This sword is the most beautiful weapon you have laid eyes upon. It pierces your enemies just as its beauty pierces the hearts of those who wield it.
3,H2A,Ice Daggers,60,15,0,Equipable,,"Two daggers, found inside bulette",The blades of these daggers are as cold as ice. They may or may not be willing to sacrifice your love.
4,I2A,Void Blade,70,10,0,Equipable,,Found after ankhegs,Anything struck by this blade is warped and twisted. Anything smaller than the blade is sucked inside. You have no idea where these things go.
5,I5A,Sword of Heart,100,10,0,Equipable,,Given if you are worthy,"This sword appears to be made of pure light. It shines with a bright light, reflecting the positive choices you have made on your journey. Use it wisely."
6,"L2A,M3A",Platinum Greatsword,80,0,0,Equipable,,Taken off of Al if you kill him,"The platinum greatsword once wielded by Al radiates with divine energy. Even in death, it seems that through his sword, he is trying to turn your soul towards the light."
7,D1C,Royal Guard Armor,0,0,30,Equipable,,Taken off of Marquise if you kill him first time,This purple and gold armor befits the servant of a self-righteous king. Hopefully it will serve you better than it did Marquiese.
8,H4B,Bulette-Hide Armor,0,0,50,Equipable,,After Bulette WIlliam - dead or alive,"To add insult to injury, this armor taken from Bulette William is made from the hide of a bulette. So not only did you murder him in cold blood, but you are also wearing armor made out of his brethren's skin. "
9,"L2A,M3A",Mithril Mail,0,0,100,Equipable,,Taken off of Al if you kill him,"This glittering armor served Al quite well over the course of his life, but it did not protect him from being stabbed in the back by one he called a friend. The weight of this armor represents the weight on your conscience of betraying an ally,"
10,"K2A,M2A,M4A",Dusk-Touched Armor,0,20,60,Equipable,,Marquise's Second Set of Armor,"With this armor, the shadows seem to cling to you, making you harder to hit in combat. Such a boon could only have been given by one as powerful as the king."
11,I2A,Armor of Agility,0,35,40,Equipable,,Found after defeating Ankhegs,"When wearing this armor, only the most perceptive of enemies are able to strike you rather than your afterimage."
12,"F1C,F1D",Potion of Stone's Endurance,0,0,50,Consumable,Yes,,"Upon imbibing this potion, your constitution is moderately increased"
13,"F1C,F1D",Potion of Hawk's Swiftness,0,50,0,Consumable,No,,"Once consumed, the user is able to move with the speed of a hunting hawk."
14,"F1C,F1D",Potion of Fire Giant Strength,50,0,0,Consumable,No,,Your stikes are augmented with the strength of a giant upon drinking this potion.
15,"F1C,F1D",Philter of Ultimate Vitality,0,0,150,Consumable,Yes,,"Once you drink this, you could probably be body slammed by a giant and still survive."
16,"F1C,F1D",Potion of Ultimate Speed,0,150,0,Consumable,No,,Gotta. Go. Fast.
17,"F1C,F1D",Potion of Unlimited Strength,150,0,0,Consumable,No,,Anyone attacking you following the consumption of this potion should really take a moment and think about their life choices before you send them to the afterlife.
18,"F1C,F1D",Potion of Revitalization,0,0,999,Consumable,Yes,,"Upon drinking this potion, you are completely restored."
